route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,9914:8-7-32,STAN-S1-3_63543794,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543795,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543840,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543841,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543842,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543843,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543875,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543876,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543877,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543878,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553602,"Essey Mouzimpré",,0,112,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543879,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543880,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543881,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543882,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543883,"Houd. Porte Sud",,0,414,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543884,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543885,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543886,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543887,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543888,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553603,"Essey Mouzimpré",,0,103,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543889,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543890,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543891,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543892,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543893,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543894,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543895,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543896,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543897,"Houd. Porte Sud",,0,414,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543898,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553604,"Essey Mouzimpré",,0,113,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543899,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543900,"Houd. Porte Sud",,0,415,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543901,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543902,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543903,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543904,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543905,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543906,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543907,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
